split,layer,fold,heldout_group,train_samples,test_samples,test_positive,auroc,accuracy,precision,recall,f1
prompt_style_heldout,5,2,quoted_context_then_question,172,65,22,0.6945031712473573,0.47692307692307695,0.39285714285714285,1.0,0.5641025641025641
prompt_style_heldout,6,0,brief_qa,166,71,3,0.6862745098039216,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,6,2,quoted_context_then_question,172,65,22,0.4682875264270613,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,7,0,brief_qa,166,71,3,0.7696078431372548,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,7,2,quoted_context_then_question,172,65,22,0.6173361522198733,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,8,0,brief_qa,166,71,3,0.7303921568627452,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,8,2,quoted_context_then_question,172,65,22,0.7019027484143763,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,9,0,brief_qa,166,71,3,0.6127450980392158,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,9,2,quoted_context_then_question,172,65,22,0.7959830866807611,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,10,0,brief_qa,166,71,3,0.5049019607843136,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,10,2,quoted_context_then_question,172,65,22,0.5856236786469344,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,11,0,brief_qa,166,71,3,0.8431372549019609,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,11,2,quoted_context_then_question,172,65,22,0.7431289640591966,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,12,0,brief_qa,166,71,3,0.8774509803921569,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,12,2,quoted_context_then_question,172,65,22,0.6871035940803383,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,13,0,brief_qa,166,71,3,0.8480392156862745,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,13,2,quoted_context_then_question,172,65,22,0.8763213530655392,0.7384615384615385,0.5675675675675675,0.9545454545454546,0.711864406779661
prompt_style_heldout,14,0,brief_qa,166,71,3,0.6372549019607844,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,14,2,quoted_context_then_question,172,65,22,0.7790697674418605,0.38461538461538464,0.3548387096774194,1.0,0.5238095238095238
prompt_style_heldout,15,0,brief_qa,166,71,3,0.7107843137254902,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,15,2,quoted_context_then_question,172,65,22,0.6501057082452432,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,16,0,brief_qa,166,71,3,0.7009803921568627,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,16,2,quoted_context_then_question,172,65,22,0.8097251585623679,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,17,0,brief_qa,166,71,3,0.6225490196078431,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,17,2,quoted_context_then_question,172,65,22,0.9090909090909092,0.38461538461538464,0.3548387096774194,1.0,0.5238095238095238
prompt_style_heldout,18,0,brief_qa,166,71,3,0.7254901960784313,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,18,2,quoted_context_then_question,172,65,22,0.9143763213530656,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
prompt_style_heldout,19,0,brief_qa,166,71,3,0.32352941176470584,0.9577464788732394,0.0,0.0,0.0
prompt_style_heldout,19,2,quoted_context_then_question,172,65,22,0.9228329809725159,0.38461538461538464,0.3548387096774194,1.0,0.5238095238095238
prompt_style_heldout,20,0,brief_qa,166,71,3,0.4264705882352941,0.9295774647887324,0.0,0.0,0.0
prompt_style_heldout,20,2,quoted_context_then_question,172,65,22,0.8932346723044398,0.35384615384615387,0.34375,1.0,0.5116279069767442
prompt_style_heldout,21,0,brief_qa,166,71,3,0.8235294117647058,0.9436619718309859,0.0,0.0,0.0
prompt_style_heldout,21,2,quoted_context_then_question,172,65,22,0.9323467230443974,0.4153846153846154,0.36666666666666664,1.0,0.5365853658536586
prompt_style_heldout,22,0,brief_qa,166,71,3,0.8333333333333333,0.9436619718309859,0.0,0.0,0.0
prompt_style_heldout,22,2,quoted_context_then_question,172,65,22,0.919661733615222,0.4,0.36065573770491804,1.0,0.5301204819277109
prompt_style_heldout,23,0,brief_qa,166,71,3,0.8921568627450981,0.8591549295774648,0.18181818181818182,0.6666666666666666,0.2857142857142857
prompt_style_heldout,23,2,quoted_context_then_question,172,65,22,0.9186046511627907,0.46153846153846156,0.38596491228070173,1.0,0.5569620253164557
prompt_style_heldout,24,0,brief_qa,166,71,3,0.9117647058823529,0.8169014084507042,0.1875,1.0,0.3157894736842105
prompt_style_heldout,24,2,quoted_context_then_question,172,65,22,0.9069767441860466,0.47692307692307695,0.39285714285714285,1.0,0.5641025641025641
prompt_style_heldout,25,0,brief_qa,166,71,3,0.8872549019607844,0.7887323943661971,0.16666666666666666,1.0,0.2857142857142857
prompt_style_heldout,25,2,quoted_context_then_question,172,65,22,0.8837209302325582,0.49230769230769234,0.4,1.0,0.5714285714285714
prompt_style_heldout,26,0,brief_qa,166,71,3,0.8823529411764706,0.7887323943661971,0.16666666666666666,1.0,0.2857142857142857
prompt_style_heldout,26,2,quoted_context_then_question,172,65,22,0.9154334038054969,0.5538461538461539,0.43137254901960786,1.0,0.6027397260273972
prompt_style_heldout,27,0,brief_qa,166,71,3,0.8676470588235294,0.7887323943661971,0.16666666666666666,1.0,0.2857142857142857
prompt_style_heldout,27,2,quoted_context_then_question,172,65,22,0.9386892177589853,0.6923076923076923,0.5238095238095238,1.0,0.6875
prompt_style_heldout,28,0,brief_qa,166,71,3,0.9019607843137255,0.8169014084507042,0.1875,1.0,0.3157894736842105
prompt_style_heldout,28,2,quoted_context_then_question,172,65,22,0.9186046511627908,0.7846153846153846,0.6176470588235294,0.9545454545454546,0.75
